date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:01:00	5736/5736	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2002%20Oct%202017%2007:53:59%20GMT	http://srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/etape1/doc/FormatInstruction1.svg	D:/MyWebSites/TP_lilas/srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/etape1/doc/FormatInstruction1.svg	(from http://srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/etape1/index.html?part=ID_PubliTool_N10445)
16:01:02	375298/375298	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2031%20May%202018%2014:00:57%20GMT	http://srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/etape1/doc/Transcodage.svg?echelle=0.7	D:/MyWebSites/TP_lilas/srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/etape1/doc/Transcodaged627.svg	(from http://srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/etape1/index.html?part=ID_PubliTool_N102E3)
16:01:02	3403/3403	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20May%202018%2014:00:53%20GMT	http://srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/etape1/doc/Exercice5.html	D:/MyWebSites/TP_lilas/srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/etape1/doc/Exercice5.html	(from http://srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/etape1/index.html?part=ID_PubliTool_N102E3)
16:01:02	4671/4671	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2002%20Oct%202017%2007:53:59%20GMT	http://srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/etape1/doc/FormatInstruction2.svg	D:/MyWebSites/TP_lilas/srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/etape1/doc/FormatInstruction2.svg	(from http://srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/etape1/index.html?part=ID_PubliTool_N10445)
16:01:03	6523/6523	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2002%20Oct%202017%2007:53:59%20GMT	http://srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/etape1/doc/FormatInstruction3.svg	D:/MyWebSites/TP_lilas/srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/etape1/doc/FormatInstruction3.svg	(from http://srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/etape1/index.html?part=ID_PubliTool_N10445)
16:01:03	150987/150987	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2031%20May%202018%2014:01:03%20GMT	http://srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/etape1/doc/EchangeMotOctet.svg?echelle=0.8	D:/MyWebSites/TP_lilas/srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/etape1/doc/EchangeMotOctet23f0.svg	(from http://srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/etape1/index.html?part=ID_PubliTool_N10445)
16:01:04	4164/4164	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20May%202018%2014:01:04%20GMT	http://srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/tutoriel_assembleur/index.html	D:/MyWebSites/TP_lilas/srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/tutoriel_assembleur/index.html	(from http://srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/etape1/index.html?part=ID_PubliTool_N10445)
16:01:04	597/597	---M--	200	added ('OK')	text/html	date:Mon,%2002%20Oct%202017%2007:53:51%20GMT	http://srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/etape1/prog3.ass	D:/MyWebSites/TP_lilas/srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/etape1/prog3.html	(from http://srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/etape1/index.html?part=ID_PubliTool_N10445)
16:01:04	560/560	---M--	200	added ('OK')	text/html	date:Mon,%2002%20Oct%202017%2007:53:51%20GMT	http://srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/etape1/prog4.ass	D:/MyWebSites/TP_lilas/srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/etape1/prog4.html	(from http://srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/etape1/index.html?part=ID_PubliTool_N10445)
16:01:05	3053/3053	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20May%202018%2014:01:05%20GMT	http://srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/etape1/doc/Exercice1.html	D:/MyWebSites/TP_lilas/srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/etape1/doc/Exercice1.html	(from http://srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/etape1/index.html?part=ID_PubliTool_N10445)
